Time Since Launch (m,s,ms), Pressure (hpa), Temperature (*C), Humidity (%), Altitude Above Launch (m), Time Since Launch (ms)
3m44s442ms, 994 hPa, 26 *C, 41 %, -1 m above launch, 77.84 yaw, -9.04 pitch, 38.10 roll, 224442 ms, 0 flight state
3m45s618ms, 994 hPa, 26 *C, 41 %, -1 m above launch, 77.85 yaw, -9.04 pitch, 38.10 roll, 225618 ms, 0 flight state
3m46s775ms, 994 hPa, 26 *C, 41 %, -1 m above launch, 77.85 yaw, -9.04 pitch, 38.10 roll, 226775 ms, 0 flight state
3m47s950ms, 994 hPa, 26 *C, 41 %, -1 m above launch, 77.85 yaw, -9.05 pitch, 38.12 roll, 227950 ms, 0 flight state
3m49s107ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.85 yaw, -9.05 pitch, 38.12 roll, 229107 ms, 0 flight state
3m50s283ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.84 yaw, -9.03 pitch, 38.12 roll, 230283 ms, 0 flight state
3m51s440ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.84 yaw, -9.03 pitch, 38.13 roll, 231440 ms, 0 flight state
3m52s617ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.84 yaw, -9.03 pitch, 38.13 roll, 232617 ms, 0 flight state
3m53s773ms, 994 hPa, 26 *C, 41 %, -1 m above launch, 77.83 yaw, -9.03 pitch, 38.12 roll, 233773 ms, 0 flight state
3m54s950ms, 994 hPa, 26 *C, 41 %, -1 m above launch, 77.83 yaw, -9.05 pitch, 38.11 roll, 234950 ms, 0 flight state
3m56s107ms, 994 hPa, 26 *C, 41 %, -1 m above launch, 77.83 yaw, -9.05 pitch, 38.11 roll, 236107 ms, 0 flight state
3m57s283ms, 994 hPa, 26 *C, 41 %, -1 m above launch, 77.83 yaw, -9.04 pitch, 38.14 roll, 237283 ms, 0 flight state
3m58s440ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.82 yaw, -9.05 pitch, 38.13 roll, 238440 ms, 0 flight state
3m59s615ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.82 yaw, -9.05 pitch, 38.13 roll, 239615 ms, 0 flight state
4m0s772ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.82 yaw, -9.05 pitch, 38.14 roll, 240772 ms, 0 flight state
4m1s947ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.82 yaw, -9.05 pitch, 38.16 roll, 241947 ms, 0 flight state
4m3s102ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.82 yaw, -9.05 pitch, 38.16 roll, 243102 ms, 0 flight state
4m4s275ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.81 yaw, -9.04 pitch, 38.14 roll, 244275 ms, 0 flight state
4m5s430ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.81 yaw, -9.03 pitch, 38.12 roll, 245430 ms, 0 flight state
4m6s604ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.81 yaw, -9.03 pitch, 38.12 roll, 246604 ms, 0 flight state
4m7s759ms, 994 hPa, 26 *C, 41 %, -1 m above launch, 77.81 yaw, -9.02 pitch, 38.13 roll, 247759 ms, 0 flight state
4m8s933ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.78 yaw, -9.02 pitch, 38.14 roll, 248933 ms, 0 flight state
4m10s88ms, 994 hPa, 26 *C, 41 %, -1 m above launch, 77.78 yaw, -9.04 pitch, 38.14 roll, 250088 ms, 0 flight state
4m11s261ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.79 yaw, -9.02 pitch, 38.12 roll, 251261 ms, 0 flight state
4m12s418ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.80 yaw, -9.02 pitch, 38.12 roll, 252418 ms, 0 flight state
4m13s595ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.80 yaw, -9.02 pitch, 38.12 roll, 253595 ms, 0 flight state
4m14s752ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.80 yaw, -9.03 pitch, 38.12 roll, 254752 ms, 0 flight state
4m15s928ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.80 yaw, -9.03 pitch, 38.11 roll, 255928 ms, 0 flight state
4m17s85ms, 994 hPa, 27 *C, 41 %, -2 m above launch, 77.80 yaw, -9.03 pitch, 38.11 roll, 257085 ms, 0 flight state
4m18s259ms, 994 hPa, 27 *C, 41 %, -2 m above launch, 77.80 yaw, -9.01 pitch, 38.10 roll, 258259 ms, 0 flight state
4m19s416ms, 994 hPa, 27 *C, 41 %, -1 m above launch, 77.79 yaw, -9.01 pitch, 38.08 roll, 259416 ms, 0 flight state
4m20s593ms, 994 hPa, 27 *C, 41 %, -2 m above launch, 77.79 yaw, -9.01 pitch, 38.08 roll, 260593 ms, 0 flight state
4m21s750ms, 994 hPa, 27 *C, 41 %, -1 m above launch, 77.80 yaw, -9.00 pitch, 38.09 roll, 261750 ms, 0 flight state
4m22s927ms, 994 hPa, 27 *C, 41 %, -2 m above launch, 162.57 yaw, -84.42 pitch, 5.29 roll, 262927 ms, 0 flight state
4m24s87ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -67.54 yaw, -80.11 pitch, -111.33 roll, 264087 ms, 0 flight state
4m25s270ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -67.53 yaw, -79.92 pitch, -111.38 roll, 265270 ms, 0 flight state
4m26s436ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -77.04 yaw, -82.62 pitch, -102.67 roll, 266436 ms, 0 flight state
4m27s620ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -91.71 yaw, -86.82 pitch, -87.25 roll, 267620 ms, 0 flight state
4m28s784ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -63.96 yaw, -88.81 pitch, -106.24 roll, 268784 ms, 0 flight state
4m29s969ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -129.64 yaw, -89.16 pitch, -31.57 roll, 269969 ms, 0 flight state
4m31s135ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -40.61 yaw, -85.65 pitch, -112.39 roll, 271135 ms, 0 flight state
4m32s319ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -28.86 yaw, -88.11 pitch, -118.86 roll, 272319 ms, 0 flight state
4m33s484ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -75.01 yaw, -89.04 pitch, -85.08 roll, 273484 ms, 0 flight state
4m34s666ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -59.86 yaw, -89.11 pitch, -117.28 roll, 274666 ms, 0 flight state
4m35s831ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -74.00 yaw, -88.26 pitch, -116.94 roll, 275831 ms, 0 flight state
4m37s15ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -80.65 yaw, -87.38 pitch, -119.98 roll, 277015 ms, 0 flight state
4m38s178ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -86.47 yaw, -87.20 pitch, -119.11 roll, 278178 ms, 0 flight state
4m39s363ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -125.87 yaw, -87.13 pitch, -76.80 roll, 279363 ms, 0 flight state
4m40s528ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -42.19 yaw, -85.79 pitch, -146.13 roll, 280528 ms, 0 flight state
4m41s711ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -31.22 yaw, -86.02 pitch, -141.35 roll, 281711 ms, 0 flight state
4m42s876ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -20.17 yaw, -86.81 pitch, -131.16 roll, 282876 ms, 0 flight state
4m44s61ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -144.71 yaw, -88.52 pitch, 10.57 roll, 284061 ms, 0 flight state
4m45s222ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -113.68 yaw, -88.08 pitch, 0.66 roll, 285222 ms, 0 flight state
4m46s402ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -36.14 yaw, -88.52 pitch, -47.25 roll, 286402 ms, 0 flight state
4m47s565ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -2.29 yaw, -85.96 pitch, -49.02 roll, 287565 ms, 0 flight state
4m48s746ms, 994 hPa, 27 *C, 40 %, -1 m above launch, 57.16 yaw, -86.12 pitch, -86.44 roll, 288746 ms, 0 flight state
4m49s907ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -74.96 yaw, -86.02 pitch, 83.53 roll, 289907 ms, 0 flight state
4m51s87ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -2.44 yaw, -88.41 pitch, -163.51 roll, 291087 ms, 0 flight state
4m52s248ms, 994 hPa, 27 *C, 40 %, -1 m above launch, 98.51 yaw, -88.47 pitch, -83.71 roll, 292248 ms, 0 flight state
4m53s429ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -136.46 yaw, -88.82 pitch, -119.66 roll, 293429 ms, 0 flight state
4m54s596ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -55.26 yaw, -88.61 pitch, -179.02 roll, 294596 ms, 0 flight state
4m55s780ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -120.19 yaw, -85.78 pitch, -157.27 roll, 295780 ms, 0 flight state
4m56s947ms, 994 hPa, 27 *C, 40 %, -1 m above launch, -77.14 yaw, -88.68 pitch, 59.18 roll, 296947 ms, 0 flight state
4m58s126ms, 994 hPa, 27 *C, 39 %, -1 m above launch, 32.94 yaw, -88.29 pitch, -144.41 roll, 298126 ms, 0 flight state
4m59s289ms, 994 hPa, 27 *C, 39 %, -1 m above launch, 161.98 yaw, -88.76 pitch, -10.70 roll, 299289 ms, 0 flight state
5m0s473ms, 994 hPa, 27 *C, 39 %, -1 m above launch, 160.88 yaw, -88.18 pitch, -88.06 roll, 300473 ms, 0 flight state
5m1s634ms, 994 hPa, 27 *C, 39 %, -1 m above launch, 177.55 yaw, -88.93 pitch, 173.85 roll, 301634 ms, 0 flight state
5m2s813ms, 994 hPa, 27 *C, 39 %, -1 m above launch, -109.50 yaw, -86.61 pitch, 64.82 roll, 302813 ms, 0 flight state
5m3s974ms, 994 hPa, 27 *C, 39 %, -1 m above launch, -102.11 yaw, -88.61 pitch, 74.22 roll, 303974 ms, 0 flight state
5m5s154ms, 994 hPa, 27 *C, 39 %, -1 m above launch, 134.93 yaw, -88.38 pitch, -114.88 roll, 305154 ms, 0 flight state
5m6s318ms, 994 hPa, 27 *C, 39 %, -1 m above launch, 151.97 yaw, -87.58 pitch, -81.37 roll, 306318 ms, 0 flight state
5m7s498ms, 994 hPa, 27 *C, 39 %, -1 m above launch, 122.72 yaw, -86.31 pitch, -29.02 roll, 307498 ms, 0 flight state
5m8s659ms, 994 hPa, 27 *C, 39 %, -1 m above launch, 161.02 yaw, -85.70 pitch, -61.85 roll, 308659 ms, 0 flight state
5m9s840ms, 994 hPa, 27 *C, 39 %, -1 m above launch, 43.44 yaw, -88.89 pitch, 39.86 roll, 309840 ms, 0 flight state
5m10s996ms, 994 hPa, 27 *C, 39 %, -1 m above launch, 122.29 yaw, -86.63 pitch, -76.28 roll, 310996 ms, 0 flight state
5m12s179ms, 994 hPa, 27 *C, 39 %, -1 m above launch, 127.56 yaw, -88.00 pitch, -123.74 roll, 312179 ms, 0 flight state
5m13s344ms, 994 hPa, 27 *C, 39 %, -1 m above launch, 99.24 yaw, -87.50 pitch, -112.74 roll, 313344 ms, 0 flight state
5m14s525ms, 994 hPa, 27 *C, 39 %, -1 m above launch, 90.82 yaw, -85.72 pitch, -92.09 roll, 314525 ms, 0 flight state
5m15s686ms, 994 hPa, 27 *C, 39 %, -1 m above launch, -162.87 yaw, -83.51 pitch, 176.13 roll, 315686 ms, 0 flight state
5m16s871ms, 994 hPa, 27 *C, 39 %, -1 m above launch, 41.23 yaw, -87.37 pitch, -28.72 roll, 316871 ms, 0 flight state
5m18s32ms, 994 hPa, 27 *C, 39 %, -1 m above launch, 81.62 yaw, -85.19 pitch, -77.29 roll, 318032 ms, 0 flight state
5m19s210ms, 994 hPa, 27 *C, 39 %, -1 m above launch, 42.38 yaw, -84.11 pitch, -54.78 roll, 319210 ms, 0 flight state
5m20s372ms, 994 hPa, 28 *C, 39 %, -1 m above launch, 167.11 yaw, -87.60 pitch, 159.07 roll, 320372 ms, 0 flight state
5m21s553ms, 994 hPa, 28 *C, 39 %, -1 m above launch, -162.97 yaw, -87.93 pitch, 127.67 roll, 321553 ms, 0 flight state
5m22s718ms, 994 hPa, 28 *C, 39 %, -1 m above launch, 131.77 yaw, -89.32 pitch, -147.03 roll, 322718 ms, 0 flight state
5m23s903ms, 994 hPa, 28 *C, 39 %, -1 m above launch, 85.10 yaw, -88.11 pitch, -81.36 roll, 323903 ms, 0 flight state
5m25s64ms, 994 hPa, 28 *C, 39 %, -1 m above launch, 63.83 yaw, -89.05 pitch, -53.73 roll, 325064 ms, 0 flight state
5m26s242ms, 994 hPa, 28 *C, 39 %, -1 m above launch, 126.26 yaw, -88.15 pitch, -118.92 roll, 326242 ms, 0 flight state
5m27s407ms, 994 hPa, 28 *C, 39 %, -1 m above launch, 119.07 yaw, -84.94 pitch, -114.61 roll, 327407 ms, 0 flight state
5m28s591ms, 994 hPa, 28 *C, 39 %, -1 m above launch, 92.11 yaw, -83.68 pitch, -94.26 roll, 328591 ms, 0 flight state
5m29s752ms, 994 hPa, 28 *C, 39 %, -1 m above launch, 124.92 yaw, -84.87 pitch, -140.55 roll, 329752 ms, 0 flight state
5m30s936ms, 994 hPa, 28 *C, 39 %, -1 m above launch, 161.85 yaw, -88.49 pitch, 135.69 roll, 330936 ms, 0 flight state
5m32s99ms, 994 hPa, 28 *C, 39 %, -1 m above launch, -57.97 yaw, -88.59 pitch, -49.54 roll, 332099 ms, 0 flight state
5m33s279ms, 994 hPa, 28 *C, 39 %, -1 m above launch, -9.11 yaw, -89.26 pitch, -108.32 roll, 333279 ms, 0 flight state
5m34s442ms, 994 hPa, 28 *C, 39 %, -1 m above launch, 57.52 yaw, -86.98 pitch, -148.37 roll, 334442 ms, 0 flight state
5m35s625ms, 994 hPa, 28 *C, 39 %, -1 m above launch, 84.53 yaw, -86.74 pitch, -129.87 roll, 335625 ms, 0 flight state
5m36s788ms, 994 hPa, 28 *C, 39 %, -1 m above launch, 89.93 yaw, -87.60 pitch, -92.90 roll, 336788 ms, 0 flight state
5m37s968ms, 994 hPa, 28 *C, 39 %, -1 m above launch, 147.26 yaw, -87.18 pitch, -145.64 roll, 337968 ms, 0 flight state
5m39s133ms, 994 hPa, 28 *C, 39 %, -1 m above launch, 103.26 yaw, -87.51 pitch, -126.01 roll, 339133 ms, 0 flight state
5m40s317ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 61.69 yaw, -87.50 pitch, -105.60 roll, 340317 ms, 0 flight state
5m41s481ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 34.60 yaw, -88.75 pitch, -84.33 roll, 341481 ms, 0 flight state
5m42s661ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 46.75 yaw, -88.44 pitch, -87.76 roll, 342661 ms, 0 flight state
5m43s823ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 66.75 yaw, -85.31 pitch, -90.02 roll, 343823 ms, 0 flight state
5m45s4ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 101.92 yaw, -86.41 pitch, -117.20 roll, 345004 ms, 0 flight state
5m46s165ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 117.01 yaw, -85.18 pitch, -133.18 roll, 346165 ms, 0 flight state
5m47s350ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 73.22 yaw, -87.33 pitch, -87.78 roll, 347350 ms, 0 flight state
5m48s511ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 0.92 yaw, -87.40 pitch, -13.27 roll, 348511 ms, 0 flight state
5m49s688ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 139.97 yaw, -83.90 pitch, -149.71 roll, 349688 ms, 0 flight state
5m50s854ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 103.05 yaw, -82.80 pitch, -111.48 roll, 350854 ms, 0 flight state
5m52s38ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 84.73 yaw, -87.53 pitch, -101.94 roll, 352038 ms, 0 flight state
5m53s199ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 136.23 yaw, -89.03 pitch, -159.64 roll, 353199 ms, 0 flight state
5m54s383ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 125.29 yaw, -85.75 pitch, -145.19 roll, 354383 ms, 0 flight state
5m55s548ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 111.83 yaw, -86.50 pitch, -127.96 roll, 355548 ms, 0 flight state
5m56s732ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 71.61 yaw, -87.47 pitch, -93.78 roll, 356732 ms, 0 flight state
5m57s895ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 69.89 yaw, -87.91 pitch, -97.88 roll, 357895 ms, 0 flight state
5m59s74ms, 994 hPa, 28 *C, 38 %, -1 m above launch, -0.82 yaw, -86.96 pitch, -18.98 roll, 359074 ms, 0 flight state
6m0s233ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 43.24 yaw, -87.43 pitch, -69.20 roll, 360233 ms, 0 flight state
6m1s411ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 94.56 yaw, -87.79 pitch, -136.04 roll, 361411 ms, 0 flight state
6m2s572ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 85.53 yaw, -86.80 pitch, -134.19 roll, 362572 ms, 0 flight state
6m3s751ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 96.46 yaw, -83.67 pitch, -139.36 roll, 363751 ms, 0 flight state
6m4s912ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 114.51 yaw, -84.15 pitch, -142.91 roll, 364912 ms, 0 flight state
6m6s95ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 95.27 yaw, -85.90 pitch, -114.55 roll, 366095 ms, 0 flight state
6m7s254ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 66.63 yaw, -87.96 pitch, -86.78 roll, 367254 ms, 0 flight state
6m8s432ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 88.73 yaw, -86.47 pitch, -112.75 roll, 368432 ms, 0 flight state
6m9s593ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 60.59 yaw, -88.36 pitch, -92.51 roll, 369593 ms, 0 flight state
6m10s770ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 63.42 yaw, -86.33 pitch, -103.12 roll, 370770 ms, 0 flight state
6m11s932ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 147.86 yaw, -85.98 pitch, 169.71 roll, 371932 ms, 0 flight state
6m13s115ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 138.02 yaw, -87.87 pitch, -172.90 roll, 373115 ms, 0 flight state
6m14s280ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 50.21 yaw, -87.93 pitch, 176.59 roll, 374280 ms, 0 flight state
6m15s460ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 143.42 yaw, -87.06 pitch, -66.01 roll, 375460 ms, 0 flight state
6m16s623ms, 994 hPa, 28 *C, 38 %, -1 m above launch, 155.20 yaw, -88.83 pitch, 142.04 roll, 376623 ms, 0 flight state
6m17s805ms, 994 hPa, 29 *C, 38 %, -1 m above launch, 170.42 yaw, -88.15 pitch, 68.89 roll, 377805 ms, 0 flight state
6m18s967ms, 994 hPa, 29 *C, 38 %, -1 m above launch, -143.68 yaw, -89.03 pitch, 26.99 roll, 378967 ms, 0 flight state
6m20s148ms, 994 hPa, 29 *C, 38 %, -1 m above launch, 43.29 yaw, -87.81 pitch, -111.65 roll, 380148 ms, 0 flight state
6m21s311ms, 994 hPa, 29 *C, 37 %, -1 m above launch, 55.93 yaw, -89.41 pitch, -40.17 roll, 381311 ms, 0 flight state
6m22s491ms, 994 hPa, 29 *C, 37 %, -1 m above launch, 175.58 yaw, -86.79 pitch, -102.68 roll, 382491 ms, 0 flight state
6m23s656ms, 994 hPa, 29 *C, 37 %, -1 m above launch, -52.39 yaw, -88.55 pitch, 178.83 roll, 383656 ms, 0 flight state
6m24s838ms, 994 hPa, 29 *C, 37 %, -1 m above launch, 6.70 yaw, -85.12 pitch, 164.26 roll, 384838 ms, 0 flight state
6m25s997ms, 994 hPa, 29 *C, 37 %, -1 m above launch, 46.07 yaw, -86.68 pitch, 176.83 roll, 385997 ms, 0 flight state
6m27s176ms, 994 hPa, 29 *C, 37 %, -1 m above launch, -21.34 yaw, -87.97 pitch, -64.22 roll, 387176 ms, 0 flight state
6m28s340ms, 994 hPa, 29 *C, 37 %, -1 m above launch, 173.13 yaw, -88.87 pitch, 171.62 roll, 388340 ms, 0 flight state
6m29s522ms, 994 hPa, 29 *C, 37 %, -1 m above launch, -171.11 yaw, -87.73 pitch, -164.11 roll, 389522 ms, 0 flight state
6m30s691ms, 994 hPa, 29 *C, 37 %, -1 m above launch, -176.11 yaw, -87.89 pitch, -156.13 roll, 390691 ms, 0 flight state
6m31s876ms, 994 hPa, 29 *C, 37 %, -1 m above launch, 125.65 yaw, -86.99 pitch, -120.99 roll, 391876 ms, 0 flight state
6m33s43ms, 994 hPa, 29 *C, 37 %, -1 m above launch, 107.55 yaw, -85.65 pitch, -144.88 roll, 393043 ms, 0 flight state
6m34s224ms, 994 hPa, 29 *C, 37 %, -1 m above launch, 15.42 yaw, -84.11 pitch, -84.25 roll, 394224 ms, 0 flight state
6m35s386ms, 994 hPa, 29 *C, 37 %, -1 m above launch, -41.66 yaw, -86.23 pitch, -39.55 roll, 395386 ms, 0 flight state
6m36s568ms, 994 hPa, 29 *C, 37 %, -1 m above launch, 100.88 yaw, -86.67 pitch, -178.52 roll, 396568 ms, 0 flight state
6m37s735ms, 994 hPa, 29 *C, 37 %, -1 m above launch, 171.89 yaw, -85.90 pitch, 128.73 roll, 397735 ms, 0 flight state
6m38s917ms, 994 hPa, 29 *C, 37 %, -1 m above launch, 111.28 yaw, -86.87 pitch, -149.24 roll, 398917 ms, 0 flight state
6m40s83ms, 994 hPa, 29 *C, 37 %, -1 m above launch, 98.44 yaw, -88.35 pitch, -111.80 roll, 400083 ms, 0 flight state
6m41s264ms, 994 hPa, 29 *C, 37 %, -1 m above launch, 62.99 yaw, -87.68 pitch, -74.04 roll, 401264 ms, 0 flight state
6m42s425ms, 994 hPa, 29 *C, 37 %, -1 m above launch, 77.75 yaw, -87.26 pitch, -107.01 roll, 402425 ms, 0 flight state
6m43s607ms, 994 hPa, 29 *C, 37 %, -1 m above launch, 68.88 yaw, -87.75 pitch, -114.14 roll, 403607 ms, 0 flight state
6m44s770ms, 994 hPa, 29 *C, 37 %, -2 m above launch, 76.81 yaw, -87.32 pitch, -127.05 roll, 404770 ms, 0 flight state
6m45s952ms, 994 hPa, 29 *C, 37 %, -2 m above launch, 79.81 yaw, -87.74 pitch, -121.63 roll, 405952 ms, 0 flight state
6m47s115ms, 994 hPa, 29 *C, 37 %, -2 m above launch, 42.42 yaw, -87.11 pitch, -68.24 roll, 407115 ms, 0 flight state
6m48s295ms, 994 hPa, 29 *C, 37 %, -2 m above launch, 96.94 yaw, -85.61 pitch, -115.89 roll, 408295 ms, 0 flight state
6m49s458ms, 994 hPa, 29 *C, 37 %, -2 m above launch, 67.55 yaw, -87.25 pitch, -94.64 roll, 409458 ms, 0 flight state
6m50s638ms, 994 hPa, 29 *C, 37 %, -2 m above launch, 53.41 yaw, -87.72 pitch, -92.55 roll, 410638 ms, 0 flight state
6m51s799ms, 994 hPa, 29 *C, 37 %, -1 m above launch, 83.75 yaw, -88.02 pitch, -124.95 roll, 411799 ms, 0 flight state
6m52s982ms, 994 hPa, 29 *C, 37 %, -1 m above launch, 78.15 yaw, -84.54 pitch, -110.58 roll, 412982 ms, 0 flight state
6m54s145ms, 994 hPa, 29 *C, 37 %, -2 m above launch, 122.69 yaw, -83.09 pitch, -136.80 roll, 414145 ms, 0 flight state
6m55s328ms, 994 hPa, 29 *C, 37 %, -1 m above launch, -119.00 yaw, -87.94 pitch, 123.11 roll, 415328 ms, 0 flight state
6m56s494ms, 994 hPa, 29 *C, 37 %, -2 m above launch, -93.51 yaw, -89.43 pitch, 81.56 roll, 416494 ms, 0 flight state
6m57s675ms, 994 hPa, 29 *C, 37 %, -2 m above launch, 82.64 yaw, -87.36 pitch, -125.38 roll, 417675 ms, 0 flight state
6m58s838ms, 994 hPa, 29 *C, 37 %, -1 m above launch, 78.04 yaw, -87.04 pitch, -139.62 roll, 418838 ms, 0 flight state
7m0s20ms, 994 hPa, 29 *C, 37 %, -2 m above launch, 61.76 yaw, -87.85 pitch, -115.33 roll, 420020 ms, 0 flight state
7m1s179ms, 994 hPa, 29 *C, 37 %, -1 m above launch, 15.67 yaw, -86.60 pitch, -42.00 roll, 421179 ms, 0 flight state
7m2s357ms, 994 hPa, 29 *C, 37 %, -2 m above launch, 77.10 yaw, -84.51 pitch, -76.88 roll, 422357 ms, 0 flight state
7m3s516ms, 994 hPa, 29 *C, 37 %, -2 m above launch, 124.09 yaw, -87.12 pitch, -118.92 roll, 423516 ms, 0 flight state
7m4s698ms, 994 hPa, 29 *C, 36 %, -2 m above launch, 136.87 yaw, -86.72 pitch, -145.63 roll, 424698 ms, 0 flight state
7m5s861ms, 994 hPa, 29 *C, 36 %, -1 m above launch, 114.28 yaw, -85.85 pitch, -149.72 roll, 425861 ms, 0 flight state
7m7s43ms, 994 hPa, 29 *C, 36 %, -2 m above launch, 87.04 yaw, -85.60 pitch, -171.57 roll, 427043 ms, 0 flight state
7m8s202ms, 994 hPa, 29 *C, 36 %, -2 m above launch, -28.64 yaw, -86.90 pitch, -112.82 roll, 428202 ms, 0 flight state
7m9s384ms, 994 hPa, 29 *C, 36 %, -2 m above launch, -21.97 yaw, -88.10 pitch, -130.20 roll, 429384 ms, 0 flight state
7m10s548ms, 994 hPa, 29 *C, 36 %, -2 m above launch, 18.40 yaw, -87.73 pitch, -131.77 roll, 430548 ms, 0 flight state
7m11s730ms, 994 hPa, 29 *C, 36 %, -2 m above launch, 47.30 yaw, -86.85 pitch, -96.52 roll, 431730 ms, 0 flight state
7m12s891ms, 994 hPa, 29 *C, 36 %, -1 m above launch, 124.65 yaw, -87.39 pitch, -94.76 roll, 432891 ms, 0 flight state
7m14s74ms, 994 hPa, 29 *C, 36 %, -1 m above launch, 176.11 yaw, -87.38 pitch, -93.73 roll, 434074 ms, 0 flight state
7m15s235ms, 994 hPa, 29 *C, 36 %, -1 m above launch, -141.39 yaw, -87.50 pitch, -92.31 roll, 435235 ms, 0 flight state
7m16s419ms, 994 hPa, 29 *C, 36 %, -2 m above launch, -124.64 yaw, -87.86 pitch, -82.56 roll, 436419 ms, 0 flight state
7m17s584ms, 994 hPa, 29 *C, 36 %, -2 m above launch, -65.93 yaw, -86.59 pitch, -126.80 roll, 437584 ms, 0 flight state
7m18s768ms, 994 hPa, 30 *C, 36 %, -2 m above launch, -101.15 yaw, -86.34 pitch, -91.70 roll, 438768 ms, 0 flight state
7m19s933ms, 994 hPa, 30 *C, 36 %, -2 m above launch, -105.84 yaw, -87.18 pitch, -98.18 roll, 439933 ms, 0 flight state
7m21s117ms, 994 hPa, 30 *C, 36 %, -1 m above launch, -63.31 yaw, -88.69 pitch, -160.97 roll, 441117 ms, 0 flight state
7m22s282ms, 994 hPa, 30 *C, 36 %, -2 m above launch, -81.16 yaw, -84.82 pitch, -164.19 roll, 442282 ms, 0 flight state
7m23s468ms, 994 hPa, 30 *C, 36 %, -1 m above launch, -113.61 yaw, -87.38 pitch, -139.12 roll, 443468 ms, 0 flight state
