Time Since Launch (m,s,ms), Pressure (hpa), Temperature (*C), Humidity (%), Altitude Above Launch (m), Time Since Launch (ms)
0m55s201ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -128.38 yaw, -81.72 pitch, -117.41 roll, 55201 ms, 0 flight state
0m56s367ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -17.57 yaw, -77.77 pitch, 132.61 roll, 56367 ms, 0 flight state
0m57s547ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -40.38 yaw, -78.80 pitch, 156.26 roll, 57547 ms, 0 flight state
0m58s708ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -26.39 yaw, -77.99 pitch, 143.00 roll, 58708 ms, 0 flight state
0m59s890ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -57.18 yaw, -81.41 pitch, 174.88 roll, 59890 ms, 0 flight state
1m1s51ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -129.39 yaw, -80.75 pitch, -105.66 roll, 61051 ms, 0 flight state
1m2s231ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -87.91 yaw, -83.15 pitch, -78.80 roll, 62231 ms, 0 flight state
1m3s390ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -18.29 yaw, -85.39 pitch, -153.68 roll, 63390 ms, 0 flight state
1m4s570ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -10.44 yaw, -83.77 pitch, -165.02 roll, 64570 ms, 0 flight state
1m5s732ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 23.36 yaw, -81.19 pitch, 162.52 roll, 65732 ms, 0 flight state
1m6s908ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 28.73 yaw, -79.88 pitch, 156.86 roll, 66908 ms, 0 flight state
1m8s64ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 31.38 yaw, -59.22 pitch, 156.62 roll, 68064 ms, 0 flight state
1m9s239ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 32.55 yaw, -35.18 pitch, 149.57 roll, 69239 ms, 0 flight state
1m10s396ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 16.95 yaw, -77.46 pitch, 159.89 roll, 70396 ms, 0 flight state
1m11s575ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -162.65 yaw, -76.99 pitch, -113.08 roll, 71575 ms, 0 flight state
1m12s740ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 67.62 yaw, -80.21 pitch, 9.33 roll, 72740 ms, 0 flight state
1m13s915ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -112.36 yaw, -87.80 pitch, -171.94 roll, 73915 ms, 0 flight state
1m15s80ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -131.36 yaw, -84.21 pitch, -153.52 roll, 75080 ms, 0 flight state
1m16s262ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -149.45 yaw, -83.29 pitch, -135.31 roll, 76262 ms, 0 flight state
1m17s427ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -151.86 yaw, -84.04 pitch, -133.03 roll, 77427 ms, 0 flight state
1m18s611ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -155.17 yaw, -84.26 pitch, -129.78 roll, 78611 ms, 0 flight state
1m19s776ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -153.17 yaw, -84.14 pitch, -132.05 roll, 79776 ms, 0 flight state
1m20s960ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -152.47 yaw, -84.16 pitch, -132.76 roll, 80960 ms, 0 flight state
1m22s126ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -152.73 yaw, -84.14 pitch, -132.50 roll, 82126 ms, 0 flight state
1m23s310ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -153.39 yaw, -84.18 pitch, -131.83 roll, 83310 ms, 0 flight state
1m24s475ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -156.74 yaw, -84.19 pitch, -128.43 roll, 84475 ms, 0 flight state
1m25s659ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -157.71 yaw, -84.20 pitch, -127.45 roll, 85659 ms, 0 flight state
1m26s825ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -157.30 yaw, -84.22 pitch, -127.85 roll, 86825 ms, 0 flight state
1m28s10ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -157.18 yaw, -84.21 pitch, -127.97 roll, 88010 ms, 0 flight state
1m29s173ms, 994 hPa, 25 *C, 42 %, -2 m above launch, -157.34 yaw, -84.21 pitch, -127.82 roll, 89173 ms, 0 flight state
1m30s359ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 101.85 yaw, -66.93 pitch, -27.60 roll, 90359 ms, 0 flight state
1m31s520ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.90 yaw, -8.10 pitch, 23.96 roll, 91520 ms, 0 flight state
1m32s693ms, 994 hPa, 25 *C, 42 %, -1 m above launch, 89.89 yaw, -8.11 pitch, 23.95 roll, 92693 ms, 0 flight state
1m33s848ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.89 yaw, -8.12 pitch, 23.98 roll, 93848 ms, 0 flight state
1m35s24ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.90 yaw, -8.12 pitch, 23.95 roll, 95024 ms, 0 flight state
1m36s176ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.90 yaw, -8.12 pitch, 23.95 roll, 96176 ms, 0 flight state
1m37s352ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.88 yaw, -8.13 pitch, 23.95 roll, 97352 ms, 0 flight state
1m38s507ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.87 yaw, -8.12 pitch, 23.92 roll, 98507 ms, 0 flight state
1m39s681ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.87 yaw, -8.12 pitch, 23.92 roll, 99681 ms, 0 flight state
1m40s835ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.88 yaw, -8.11 pitch, 23.90 roll, 100835 ms, 0 flight state
1m42s11ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.88 yaw, -8.09 pitch, 23.91 roll, 102011 ms, 0 flight state
1m43s166ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.88 yaw, -8.09 pitch, 23.91 roll, 103166 ms, 0 flight state
1m44s341ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.88 yaw, -8.08 pitch, 23.89 roll, 104341 ms, 0 flight state
1m45s499ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.90 yaw, -8.09 pitch, 23.90 roll, 105499 ms, 0 flight state
1m46s675ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.90 yaw, -8.09 pitch, 23.89 roll, 106675 ms, 0 flight state
1m47s832ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.91 yaw, -8.10 pitch, 23.90 roll, 107832 ms, 0 flight state
1m49s7ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.91 yaw, -8.10 pitch, 23.92 roll, 109007 ms, 0 flight state
1m50s160ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.91 yaw, -8.10 pitch, 23.92 roll, 110160 ms, 0 flight state
1m51s335ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.92 yaw, -8.10 pitch, 23.91 roll, 111335 ms, 0 flight state
1m52s492ms, 994 hPa, 25 *C, 42 %, -1 m above launch, 89.92 yaw, -8.10 pitch, 23.90 roll, 112492 ms, 0 flight state
1m53s668ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.92 yaw, -8.10 pitch, 23.90 roll, 113668 ms, 0 flight state
1m54s825ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.93 yaw, -8.10 pitch, 23.89 roll, 114825 ms, 0 flight state
1m56s1ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.92 yaw, -8.09 pitch, 23.89 roll, 116001 ms, 0 flight state
1m57s154ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.92 yaw, -8.09 pitch, 23.89 roll, 117154 ms, 0 flight state
1m58s330ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.92 yaw, -8.09 pitch, 23.89 roll, 118330 ms, 0 flight state
1m59s487ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.92 yaw, -8.08 pitch, 23.88 roll, 119487 ms, 0 flight state
2m0s664ms, 994 hPa, 25 *C, 42 %, -1 m above launch, 89.93 yaw, -8.08 pitch, 23.88 roll, 120664 ms, 0 flight state
2m1s819ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.92 yaw, -8.09 pitch, 23.89 roll, 121819 ms, 0 flight state
2m2s993ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.93 yaw, -8.08 pitch, 23.89 roll, 122993 ms, 0 flight state
2m4s149ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.93 yaw, -8.08 pitch, 23.89 roll, 124149 ms, 0 flight state
2m5s323ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.93 yaw, -8.08 pitch, 23.89 roll, 125323 ms, 0 flight state
2m6s478ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.93 yaw, -8.08 pitch, 23.89 roll, 126478 ms, 0 flight state
2m7s652ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.93 yaw, -8.08 pitch, 23.89 roll, 127652 ms, 0 flight state
2m8s806ms, 994 hPa, 25 *C, 43 %, -2 m above launch, 89.92 yaw, -8.08 pitch, 23.89 roll, 128806 ms, 0 flight state
2m9s980ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.92 yaw, -8.07 pitch, 23.86 roll, 129980 ms, 0 flight state
2m11s135ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.92 yaw, -8.07 pitch, 23.86 roll, 131135 ms, 0 flight state
2m12s310ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.92 yaw, -8.07 pitch, 23.88 roll, 132310 ms, 0 flight state
2m13s467ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.93 yaw, -8.07 pitch, 23.89 roll, 133467 ms, 0 flight state
2m14s643ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.93 yaw, -8.07 pitch, 23.89 roll, 134643 ms, 0 flight state
2m15s800ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.93 yaw, -8.08 pitch, 23.89 roll, 135800 ms, 0 flight state
2m16s976ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.94 yaw, -8.08 pitch, 23.89 roll, 136976 ms, 0 flight state
2m18s132ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 89.94 yaw, -8.08 pitch, 23.86 roll, 138132 ms, 0 flight state
2m19s309ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 74.89 yaw, -8.41 pitch, 56.34 roll, 139309 ms, 0 flight state
2m20s466ms, 994 hPa, 25 *C, 42 %, -1 m above launch, 76.19 yaw, -9.32 pitch, 49.56 roll, 140466 ms, 0 flight state
2m21s641ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.56 yaw, -9.18 pitch, 39.03 roll, 141641 ms, 0 flight state
2m22s798ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.62 yaw, -9.18 pitch, 38.84 roll, 142798 ms, 0 flight state
2m23s973ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.66 yaw, -9.15 pitch, 38.67 roll, 143973 ms, 0 flight state
2m25s131ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.64 yaw, -9.14 pitch, 38.63 roll, 145131 ms, 0 flight state
2m26s306ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.77 yaw, -9.14 pitch, 38.37 roll, 146306 ms, 0 flight state
2m27s463ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.78 yaw, -9.12 pitch, 38.43 roll, 147463 ms, 0 flight state
2m28s640ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.78 yaw, -9.12 pitch, 38.44 roll, 148640 ms, 0 flight state
2m29s797ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.78 yaw, -9.12 pitch, 38.42 roll, 149797 ms, 0 flight state
2m30s973ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.78 yaw, -9.12 pitch, 38.40 roll, 150973 ms, 0 flight state
2m32s130ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.79 yaw, -9.11 pitch, 38.38 roll, 152130 ms, 0 flight state
2m33s306ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.79 yaw, -9.10 pitch, 38.38 roll, 153306 ms, 0 flight state
2m34s463ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.79 yaw, -9.10 pitch, 38.37 roll, 154463 ms, 0 flight state
2m35s638ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.80 yaw, -9.10 pitch, 38.34 roll, 155638 ms, 0 flight state
2m36s795ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.83 yaw, -9.08 pitch, 38.29 roll, 156795 ms, 0 flight state
2m37s971ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.84 yaw, -9.07 pitch, 38.29 roll, 157971 ms, 0 flight state
2m39s128ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.85 yaw, -9.09 pitch, 38.30 roll, 159128 ms, 0 flight state
2m40s305ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.84 yaw, -9.08 pitch, 38.28 roll, 160305 ms, 0 flight state
2m41s461ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.84 yaw, -9.10 pitch, 38.28 roll, 161461 ms, 0 flight state
2m42s639ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.84 yaw, -9.10 pitch, 38.28 roll, 162639 ms, 0 flight state
2m43s795ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.83 yaw, -9.09 pitch, 38.27 roll, 163795 ms, 0 flight state
2m44s973ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.83 yaw, -9.10 pitch, 38.26 roll, 164973 ms, 0 flight state
2m46s130ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.83 yaw, -9.10 pitch, 38.26 roll, 166130 ms, 0 flight state
2m47s306ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.82 yaw, -9.11 pitch, 38.26 roll, 167306 ms, 0 flight state
2m48s463ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.83 yaw, -9.10 pitch, 38.25 roll, 168463 ms, 0 flight state
2m49s639ms, 994 hPa, 25 *C, 42 %, -2 m above launch, 77.83 yaw, -9.10 pitch, 38.25 roll, 169639 ms, 0 flight state
2m50s796ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.82 yaw, -9.10 pitch, 38.23 roll, 170796 ms, 0 flight state
2m51s973ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.81 yaw, -9.09 pitch, 38.20 roll, 171973 ms, 0 flight state
2m53s130ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.81 yaw, -9.09 pitch, 38.20 roll, 173130 ms, 0 flight state
2m54s306ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.81 yaw, -9.07 pitch, 38.22 roll, 174306 ms, 0 flight state
2m55s463ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.82 yaw, -9.06 pitch, 38.22 roll, 175463 ms, 0 flight state
2m56s638ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.82 yaw, -9.06 pitch, 38.22 roll, 176638 ms, 0 flight state
2m57s795ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.83 yaw, -9.05 pitch, 38.19 roll, 177795 ms, 0 flight state
2m58s972ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.83 yaw, -9.04 pitch, 38.19 roll, 178972 ms, 0 flight state
3m0s129ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.83 yaw, -9.04 pitch, 38.19 roll, 180129 ms, 0 flight state
3m1s304ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.83 yaw, -9.05 pitch, 38.18 roll, 181304 ms, 0 flight state
3m2s458ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.83 yaw, -9.04 pitch, 38.18 roll, 182458 ms, 0 flight state
3m3s633ms, 994 hPa, 26 *C, 42 %, -1 m above launch, 77.83 yaw, -9.04 pitch, 38.18 roll, 183633 ms, 0 flight state
3m4s787ms, 994 hPa, 26 *C, 42 %, -1 m above launch, 77.83 yaw, -9.03 pitch, 38.19 roll, 184787 ms, 0 flight state
3m5s962ms, 994 hPa, 26 *C, 42 %, -1 m above launch, 77.84 yaw, -9.02 pitch, 38.20 roll, 185962 ms, 0 flight state
3m7s117ms, 994 hPa, 26 *C, 42 %, -1 m above launch, 77.84 yaw, -9.02 pitch, 38.20 roll, 187117 ms, 0 flight state
3m8s290ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.84 yaw, -9.01 pitch, 38.21 roll, 188290 ms, 0 flight state
3m9s445ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.85 yaw, -9.01 pitch, 38.22 roll, 189445 ms, 0 flight state
3m10s618ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.85 yaw, -9.01 pitch, 38.22 roll, 190618 ms, 0 flight state
3m11s775ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.84 yaw, -9.02 pitch, 38.21 roll, 191775 ms, 0 flight state
3m12s951ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.86 yaw, -9.02 pitch, 38.19 roll, 192951 ms, 0 flight state
3m14s108ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.86 yaw, -9.02 pitch, 38.19 roll, 194108 ms, 0 flight state
3m15s285ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.86 yaw, -9.02 pitch, 38.19 roll, 195285 ms, 0 flight state
3m16s442ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.87 yaw, -9.02 pitch, 38.20 roll, 196442 ms, 0 flight state
3m17s619ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.87 yaw, -9.02 pitch, 38.20 roll, 197619 ms, 0 flight state
3m18s776ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.88 yaw, -9.01 pitch, 38.19 roll, 198776 ms, 0 flight state
3m19s952ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.88 yaw, -9.01 pitch, 38.18 roll, 199952 ms, 0 flight state
3m21s109ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.88 yaw, -9.01 pitch, 38.18 roll, 201109 ms, 0 flight state
3m22s285ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.87 yaw, -9.02 pitch, 38.16 roll, 202285 ms, 0 flight state
3m23s442ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.86 yaw, -9.01 pitch, 38.14 roll, 203442 ms, 0 flight state
3m24s619ms, 994 hPa, 26 *C, 42 %, -1 m above launch, 77.86 yaw, -9.01 pitch, 38.14 roll, 204619 ms, 0 flight state
3m25s775ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.87 yaw, -9.02 pitch, 38.13 roll, 205775 ms, 0 flight state
3m26s951ms, 994 hPa, 26 *C, 42 %, -2 m above launch, 77.85 yaw, -9.03 pitch, 38.14 roll, 206951 ms, 0 flight state
3m28s108ms, 994 hPa, 26 *C, 42 %, -1 m above launch, 77.85 yaw, -9.03 pitch, 38.14 roll, 208108 ms, 0 flight state
3m29s284ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.85 yaw, -9.04 pitch, 38.14 roll, 209284 ms, 0 flight state
3m30s441ms, 994 hPa, 26 *C, 41 %, -1 m above launch, 77.85 yaw, -9.04 pitch, 38.14 roll, 210441 ms, 0 flight state
3m31s617ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.86 yaw, -9.03 pitch, 38.13 roll, 211617 ms, 0 flight state
3m32s774ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.85 yaw, -9.03 pitch, 38.13 roll, 212774 ms, 0 flight state
3m33s951ms, 994 hPa, 26 *C, 41 %, -1 m above launch, 77.85 yaw, -9.03 pitch, 38.11 roll, 213951 ms, 0 flight state
3m35s108ms, 994 hPa, 26 *C, 41 %, -1 m above launch, 77.85 yaw, -9.03 pitch, 38.11 roll, 215108 ms, 0 flight state
3m36s285ms, 994 hPa, 26 *C, 41 %, -1 m above launch, 77.84 yaw, -9.04 pitch, 38.13 roll, 216285 ms, 0 flight state
3m37s442ms, 994 hPa, 26 *C, 41 %, -1 m above launch, 77.83 yaw, -9.03 pitch, 38.13 roll, 217442 ms, 0 flight state
3m38s618ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.83 yaw, -9.03 pitch, 38.13 roll, 218618 ms, 0 flight state
3m39s775ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.84 yaw, -9.03 pitch, 38.11 roll, 219775 ms, 0 flight state
3m40s952ms, 994 hPa, 26 *C, 41 %, -1 m above launch, 77.86 yaw, -9.03 pitch, 38.11 roll, 220952 ms, 0 flight state
3m42s109ms, 994 hPa, 26 *C, 41 %, -1 m above launch, 77.86 yaw, -9.03 pitch, 38.11 roll, 222109 ms, 0 flight state
3m43s285ms, 994 hPa, 26 *C, 41 %, -2 m above launch, 77.85 yaw, -9.03 pitch, 38.10 roll, 223285 ms, 0 flight state
